# Phil Taylor vs Adrian Lewis, semi-final 2013 Grand Slam of Darts: 17 November
leg    player score1 aim1	score2 aim2	  score3     aim3 announced	needs
1      lewis  s20    t20	t20    t20	  t19	     t19  99		NA
1      taylor t20    t20	t20    t20	  t20	     t20  180 		NA
1      lewis  s1     t20	s19    t19	  t18	     ?	  74 		NA
1      taylor s20    t20	s20    t20	  s20	     t20  97 		NA
1      lewis  t20    t20	t20    t20	  s5	     t20  121 		NA
1      taylor t20    t20	t20    t20	  t20	     t20  180 		NA
1      lewis  t20    t20	t20    t20	  t17	     t17  171 		NA
1      taylor t12    s12	s4     d4	  d2	     d2	  44 		44
2      taylor t20    t20	t20    t20	  s20	     t20  140 		NA
2      lewis  s20    t20	t20    t20	  s20	     t20  100 		NA
2      taylor t20    t20	t20    t20	  t20	     t20  180 		NA
2      lewis  t20    t20	t20    t20	  0	     t20  120 		NA
2      taylor t20    t20	s20    t20	  s17	     t17  97 		NA
2      lewis  t20    t20	t20    t20	  t20	     t20  180 		NA
2      taylor t20    s20	s14    s14	  bull	     bull 84 		84
3      lewis  t20    t20	t20    t20	  t20	     t20  180 		NA
3      taylor s5     t20	t20    t20	  t19	     s19  84 		NA
3      lewis  t20    s20	s1     t20	  t20	     s20  41 		NA
3      taylor s20    t20	t20    t20	  s20	     t20  100 		NA
3      lewis  s5     t20	t1     t20	  s5	     t20  13 		NA
3      taylor s5     t20	s20    t20	  s20	     t20  45 		NA
3      lewis  t20    t20	t20    t20	  s19	     t19  139 		NA
3      taylor s5     t20	t19    t19	  t19	     t19  119 		NA
3      lewis  s18    t18 	s20    t20	  t18	     t18  92		128
3      taylor t20    t20	s19    t19	  s14	     ?	  93 		153
3      lewis  d18    d18	NA     NA	  NA	     NA	  NA 		NA
4      taylor s20    t20	t5     t20	  t20	     t20  95 		NA
4      lewis  t20    t20	t20    t20	  t20	     s20  140 		NA
4      taylor s20    t20	t20    s20	  s20	     t20  60 		NA
4      lewis  t20    t20	t20    t20	  t20	     t20  180 		NA
4      taylor s20    t20	s20    t20	  s19	     t19  59 		NA
4      lewis  s20    t20	s3     t19	  t20	     t1	  24 		NA
4      taylor t20    t20	t20    t20	  t19	     t19  157 		NA
4      lewis  s20    t20	t20    t20	  t19	     t19  137 		NA
4      taylor s20    t20	t20    t20	  0	     d15  80 		110 
4      lewis  0	     d10	0      d10	  d10	     d10  20 		20
5      lewis  s20    t20	t19    t19	  t19	     t19  134		NA
5      taylor s20    t20	t20    t20	  s20	     t20  100 		NA
5      lewis  t20    t20	t20    t20	  t20	     t20  180 		NA
5      taylor s20    t20	s20    t20	  t20	     t20  100		NA
5      lewis  t5     t20	t20    t20	  s20	     t20  95 		NA
5      taylor s20    t20	t19    t19	  s19	     t19  97 		NA
5      lewis  t20    t20	t16    t16	  0	     d12  68 		92
5      taylor t20    t20	s20    t20	  25	     bull 105		NA
5      lewis  d12    d12	NA     NA	  NA	     NA	  24 		24
6      taylor s20    t20	t20    t20	  s5	     t20  85		NA
6      lewis  s20    t20	t20    t20	  t20	     t20  140		NA
6      taylor t5     t20	t20    t20	  t20	     t20  135		NA
6      lewis  t20    t20	t19    t19	  t19	     t19  134		NA
6      taylor s20    t20	t19    t19	  t20	     t20  137		NA
6      lewis  t20    t20	t20    t20	  t20	     t20  140 		NA
6      taylor s20    t20	t20    t20	  s16	     t16  96		144
6      lewis  s17    s17	t20    t20	  0	     d5	  77		87
6      taylor s16    s16	d16    d16	  NA	     NA	  48		48
7      lewis  t20    t20	t20    t20	  s1	     t20  121		NA
7      taylor t20    t20	t20    t20	  s20	     t20  140		NA
7      lewis  s20    t20	s19    t19	  t19	     t19  96		NA
7      taylor t20    t20	s1     t20	  s20	     t20  81		NA
7      lewis  t20    t20	t20    t20	  t20	     t20  180 		NA
7      taylor t20    t20	s20    t20	  t19	     t19  137		NA
